seed,experiment_slice,nx,ny,nz,battery_max,initial_battery,time_horizon,algorithm,success,path_cost,plan_length,wall_time_sec,visited_nodes,max_fringe_size,iterations,timeout,error
12,no_wind,5,5,3,16,12,48,bfs,True,24.5,11,0.065900,559,356,559,False,
12,no_wind,5,5,3,16,12,48,dfs,True,78.0,24,0.016768,359,89,359,False,
12,no_wind,5,5,3,16,12,48,ucs,True,24.5,11,0.063820,478,259,478,False,
12,no_wind,5,5,3,16,12,48,greedy,True,26.0,12,0.001510,32,42,32,False,
12,no_wind,5,5,3,16,12,48,astar,True,24.5,11,0.007191,115,69,115,False,
13,no_wind,5,5,3,16,12,48,bfs,True,20.5,9,0.020245,347,124,347,False,
13,no_wind,5,5,3,16,12,48,dfs,True,74.5,21,0.009948,276,89,276,False,
13,no_wind,5,5,3,16,12,48,ucs,True,20.5,9,0.028018,353,109,353,False,
13,no_wind,5,5,3,16,12,48,greedy,True,20.5,9,0.003209,67,46,67,False,
13,no_wind,5,5,3,16,12,48,astar,True,20.5,9,0.009244,96,94,96,False,
14,no_wind,5,5,3,16,12,48,bfs,True,24.5,11,0.265576,1136,699,1136,False,
14,no_wind,5,5,3,16,12,48,dfs,True,74.0,22,0.041143,869,77,869,False,
14,no_wind,5,5,3,16,12,48,ucs,True,24.5,11,0.258882,950,510,950,False,
14,no_wind,5,5,3,16,12,48,greedy,True,29.0,14,0.002506,55,50,55,False,
14,no_wind,5,5,3,16,12,48,astar,True,24.5,11,0.019806,186,98,186,False,
15,no_wind,5,5,3,16,12,48,bfs,True,20.5,9,0.300360,1143,692,1143,False,
15,no_wind,5,5,3,16,12,48,dfs,True,74.0,22,0.049059,756,101,756,False,
15,no_wind,5,5,3,16,12,48,ucs,True,20.5,9,0.296224,951,524,951,False,
15,no_wind,5,5,3,16,12,48,greedy,True,24.5,11,0.002716,61,55,61,False,
15,no_wind,5,5,3,16,12,48,astar,True,20.5,9,0.008087,86,110,86,False,
